Parameter,Min,Max,Mode,Std,Distribution
n,1.0,2.5,1.5,0.2,Gaussian
cab,0.0,80.0,50.0,40.0,Gaussian
car,0.0,15.0,,,Gaussian
ant,1.0,5.0,2.0,0.8,Gaussian
cbrown,0.0,1.0,,,Uniform
cw,0.0,0.07,0.04,0.02,Gaussian
cm,0.002,0.01,,,Uniform
lai,0.198,7.43,3.766697765099316,2.1293180136544274,Uniform
lidfa,25.0,65.0,45.0,15.0,Uniform
lidfb,0.0,0.0,,,Constant
hspot,0.01,0.5,,,Uniform
rsoil,0.0,1.0,,,Uniform
psoil,0.0,1.0,,,Uniform
tts,25.9,25.9,,,Constant
tto,5.9,5.9,,,Constant
psi,131.1,131.1,,,Constant
typelidf,2.0,2.0,,,Constant
